Date : 2020-03-03 22:41:44
Directory : c:\Users\alimc\Desktop\final_year_project\finalYearApp
Total : 103 files,  95876 codes, 395 comments, 539 blanks, all 96810 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\e2e\src\app.e2e-spec.ts                                      | TypeScript |         17 |          0 |          3 |         20 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\e2e\src\app.po.ts                                            | TypeScript |         12 |          0 |          4 |         16 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\e2e\tsconfig.json                                            | JSON       |         13 |          0 |          1 |         14 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\ionic.config.json                                            | JSON       |          5 |          0 |          1 |          6 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\karma.conf.js                                                | JavaScript |         28 |          2 |          2 |         32 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\package-lock.json                                            | JSON       |     12,226 |          0 |          1 |     12,227 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\package.json                                                 | JSON       |         67 |          0 |          1 |         68 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\AbcFormatter.ts                                      | TypeScript |         34 |          3 |          9 |         46 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\app-routing.module.ts                                | TypeScript |         36 |          0 |          8 |         44 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\app.component.html                                   | HTML       |         40 |         13 |          9 |         62 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\app.component.scss                                   | SCSS       |          6 |          0 |          2 |          8 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\app.component.spec.ts                                | TypeScript |         47 |          0 |         12 |         59 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\app.component.ts                                     | TypeScript |         51 |          0 |          5 |         56 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\app.module.ts                                        | TypeScript |         30 |          0 |          3 |         33 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\components\bar-chart\bar-chart.component.html        | HTML       |         12 |          0 |          0 |         12 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\components\bar-chart\bar-chart.component.scss        | SCSS       |          0 |          0 |          1 |          1 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\components\bar-chart\bar-chart.component.spec.ts     | TypeScript |         19 |          0 |          7 |         26 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\components\bar-chart\bar-chart.component.ts          | TypeScript |        151 |          0 |         11 |        162 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\components\do-chart\do-chart.component.html          | HTML       |          3 |          0 |          1 |          4 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\components\do-chart\do-chart.component.scss          | SCSS       |          0 |          0 |          1 |          1 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\components\do-chart\do-chart.component.spec.ts       | TypeScript |         19 |          0 |          6 |         25 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\components\do-chart\do-chart.component.ts            | TypeScript |        110 |          0 |         11 |        121 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\components\polar-chart\polar-chart.component.html    | HTML       |         22 |          0 |          1 |         23 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\components\polar-chart\polar-chart.component.scss    | SCSS       |          0 |          0 |          1 |          1 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\components\polar-chart\polar-chart.component.spec.ts | TypeScript |         19 |          0 |          7 |         26 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\components\polar-chart\polar-chart.component.ts      | TypeScript |        509 |          1 |         30 |        540 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\countryPipe.pipe.ts                                  | TypeScript |         13 |          0 |          3 |         16 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\customtext.pipe.ts                                   | TypeScript |         24 |          0 |          4 |         28 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\event-info\event-info.module.ts                      | TypeScript |         24 |          0 |          3 |         27 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\event-info\event-info.page.html                      | HTML       |         66 |          1 |          7 |         74 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\event-info\event-info.page.scss                      | SCSS       |          0 |          0 |          1 |          1 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\event-info\event-info.page.spec.ts                   | TypeScript |         19 |          0 |          7 |         26 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\event-info\event-info.page.ts                        | TypeScript |         55 |          1 |         15 |         71 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\events\events.module.ts                              | TypeScript |         26 |          0 |          3 |         29 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\events\events.page.html                              | HTML       |         45 |         43 |          4 |         92 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\events\events.page.scss                              | SCSS       |          0 |          0 |          1 |          1 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\events\events.page.spec.ts                           | TypeScript |         19 |          0 |          6 |         25 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\events\events.page.ts                                | TypeScript |         47 |         40 |         20 |        107 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\home\home.module.ts                                  | TypeScript |         21 |          0 |          3 |         24 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\home\home.page.html                                  | HTML       |         21 |          0 |          5 |         26 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\home\home.page.scss                                  | SCSS       |         17 |          3 |          5 |         25 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\home\home.page.spec.ts                               | TypeScript |         16 |          0 |          6 |         22 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\home\home.page.ts                                    | TypeScript |         19 |          1 |          7 |         27 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\list\list.module.ts                                  | TypeScript |         21 |          0 |          3 |         24 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\list\list.page.html                                  | HTML       |         21 |          5 |          2 |         28 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\list\list.page.scss                                  | SCSS       |          0 |          0 |          2 |          2 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\list\list.page.spec.ts                               | TypeScript |         25 |          0 |          8 |         33 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\list\list.page.ts                                    | TypeScript |         33 |          4 |          3 |         40 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\map-info\map-info.module.ts                          | TypeScript |         24 |          0 |          5 |         29 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\map-info\map-info.page.html                          | HTML       |         66 |          1 |          7 |         74 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\map-info\map-info.page.scss                          | SCSS       |          0 |          0 |          1 |          1 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\map-info\map-info.page.spec.ts                       | TypeScript |         19 |          0 |          6 |         25 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\map-info\map-info.page.ts                            | TypeScript |         55 |          1 |         15 |         71 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\model\Session.ts                                     | TypeScript |          6 |          0 |          0 |          6 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\model\Tune.ts                                        | TypeScript |          5 |          0 |          1 |          6 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\model\TuneDetail.ts                                  | TypeScript |          5 |          0 |          0 |          5 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\news\news.module.ts                                  | TypeScript |         22 |          0 |          5 |         27 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\news\news.page.html                                  | HTML       |         25 |          2 |          2 |         29 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\news\news.page.scss                                  | SCSS       |         11 |          0 |          2 |         13 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\news\news.page.spec.ts                               | TypeScript |         19 |          0 |          6 |         25 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\news\news.page.ts                                    | TypeScript |         25 |          0 |          7 |         32 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\recordings\recordings.module.ts                      | TypeScript |         22 |          0 |          5 |         27 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\recordings\recordings.page.html                      | HTML       |         33 |          0 |          3 |         36 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\recordings\recordings.page.scss                      | SCSS       |         15 |          1 |          3 |         19 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\recordings\recordings.page.spec.ts                   | TypeScript |         19 |          0 |          6 |         25 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\recordings\recordings.page.ts                        | TypeScript |         57 |          0 |         16 |         73 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\service\the-session.service.spec.ts                  | TypeScript |          5 |          0 |          4 |          9 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\service\the-session.service.ts                       | TypeScript |         75 |          0 |         23 |         98 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\shared\shared.module.ts                              | TypeScript |         19 |          0 |          4 |         23 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\statistics\statistics.module.ts                      | TypeScript |         31 |          0 |          3 |         34 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\statistics\statistics.page.html                      | HTML       |         45 |          0 |          8 |         53 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\statistics\statistics.page.scss                      | SCSS       |          0 |          0 |          1 |          1 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\statistics\statistics.page.spec.ts                   | TypeScript |         19 |          0 |          6 |         25 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\statistics\statistics.page.ts                        | TypeScript |         47 |          0 |         15 |         62 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\tune-info\tune-info.module.ts                        | TypeScript |         26 |          0 |          3 |         29 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\tune-info\tune-info.page.html                        | HTML       |         36 |          0 |          8 |         44 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\tune-info\tune-info.page.scss                        | SCSS       |          4 |          0 |          0 |          4 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\tune-info\tune-info.page.spec.ts                     | TypeScript |         19 |          0 |          6 |         25 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\tune-info\tune-info.page.ts                          | TypeScript |        204 |          5 |         31 |        240 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\tunes\tunes.module.ts                                | TypeScript |         26 |          0 |          4 |         30 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\tunes\tunes.page.html                                | HTML       |         22 |         18 |          1 |         41 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\tunes\tunes.page.scss                                | SCSS       |          4 |          0 |          2 |          6 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\tunes\tunes.page.spec.ts                             | TypeScript |         19 |          0 |          6 |         25 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\tunes\tunes.page.ts                                  | TypeScript |         61 |          0 |         12 |         73 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\assets\events.json                                       | JSON       |      5,232 |          0 |          0 |      5,232 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\assets\events1.json                                      | JSON       |      5,348 |          0 |          0 |      5,348 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\assets\tunes.json                                        | JSON       |     34,601 |          0 |          0 |     34,601 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\assets\tunes1.json                                       | JSON       |     35,250 |          0 |          0 |     35,250 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\environments\environment.prod.ts                         | TypeScript |          3 |          0 |          1 |          4 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\environments\environment.ts                              | TypeScript |          3 |         11 |          3 |         17 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\global.scss                                              | SCSS       |         19 |         17 |          9 |         45 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\index.html                                               | HTML       |         18 |          1 |          6 |         25 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\main.ts                                                  | TypeScript |          9 |          0 |          4 |         13 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\polyfills.ts                                             | TypeScript |          2 |         55 |         10 |         67 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\test.ts                                                  | TypeScript |         13 |          4 |          4 |         21 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\theme\variables.scss                                     | SCSS       |         56 |         12 |         11 |         79 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\zone-flags.ts                                            | TypeScript |          1 |          4 |          1 |          6 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\tsconfig.app.json                                            | JSON       |         14 |          0 |          1 |         15 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\tsconfig.json                                                | JSON       |         26 |          0 |          1 |         27 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\tsconfig.spec.json                                           | JSON       |         19 |          0 |          1 |         20 |
| c:\Users\alimc\Desktop\final_year_project\finalYearApp\tslint.json                                                  | JSON       |         88 |          0 |          1 |         89 |
| Total                                                                                                               |            |     95,876 |        395 |        539 |     96,810 |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
